query_id,query_text,is_prof_video,domain_label,content_type,decision,data_source
imdb_gen_190,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_pos_947,Планета обезьян онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_569,Проще простого 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_pos_2722,скачать Bandit 2024,true,prof_video,film,auto_accept,synthetic
imdb_gen_304,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_neg_204,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_126,скачать The Wiz 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1641,Sarkar смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2821,Тайна красной планеты смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2650,Настоящий гений смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_1492,актеры фильма Поэтичная Джастис,false,non_video,,non_video,synthetic
imdb_gen_216,сериалы онлайн бесплатно,true,prof_video,generic,generic_video,synthetic
imdb_neg_1405,как починить кран,false,non_video,,non_video,synthetic
imdb_neg_666,погода на завтра спб,false,non_video,,non_video,synthetic
imdb_pos_2104,фильм Безумные и прекрасные,true,prof_video,film,auto_accept,synthetic
imdb_pos_635,фильм Господин Никто,true,prof_video,film,auto_accept,synthetic
imdb_pos_199,Godsend бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_gen_324,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_pos_2314,Ида бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_907,Командир смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_1442,Сукияки Bестерн Джанго смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_839,Алиса здесь больше не живет отзывы критиков,false,non_video,,non_video,synthetic
imdb_pos_754,фильм Незнакомец у озера,true,prof_video,film,auto_accept,synthetic
imdb_neg_656,рецензия Бой без правил,false,non_video,,non_video,synthetic
imdb_pos_175,скачать Техасская резня бензопилой 2024,true,prof_video,film,auto_accept,synthetic
imdb_gen_460,лучшие фильмы 2012 года,true,prof_video,generic,generic_video,synthetic
imdb_pos_1812,скачать The Accused 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1722,фильм Как женить холостяка,true,prof_video,film,auto_accept,synthetic
imdb_pos_2473,скачать Астрал 4: Последний ключ 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_984,Весь этот мир бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_27,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_neg_535,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_996,фильм Inland Empire,true,prof_video,film,auto_accept,synthetic
imdb_neg_475,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_1897,The Durrells все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_neg_1020,погода на завтра спб,false,non_video,,non_video,synthetic
imdb_pos_218,фильм Ван-Пис: Красный,true,prof_video,film,auto_accept,synthetic
imdb_gen_210,сериалы онлайн бесплатно,true,prof_video,generic,generic_video,synthetic
imdb_pos_875,Певец на свадьбе бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_1173,Паранормальные явления. Медиум онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_101,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_1332,Одиночка онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_1004,Наследники смотреть онлайн,true,prof_video,series,auto_accept,synthetic
imdb_neg_1032,как починить кран,false,non_video,,non_video,synthetic
imdb_gen_77,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_gen_14,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_pos_190,"фильм Kumo no mukô, yakusoku no basho",true,prof_video,film,auto_accept,synthetic
imdb_neg_614,Воскрешая мертвецов отзывы критиков,false,non_video,,non_video,synthetic
imdb_pos_2760,Забирая жизни смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_69,актеры фильма Миньоны. Грювитация,false,non_video,,non_video,synthetic
imdb_pos_2485,скачать Черная вдова. Укус смерти 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1081,Время цыган онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_119,рецензия Живая мишень,false,non_video,,non_video,synthetic
imdb_gen_80,тупейшие хорроры,true,prof_video,generic,generic_video,synthetic
imdb_pos_428,скачать Убийство в Белом доме 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_2194,Barareh Nights 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_neg_224,как починить кран,false,non_video,,non_video,synthetic
imdb_neg_262,саундтрек из Хвала храбрецам,false,non_video,,non_video,synthetic
imdb_neg_1409,погода на завтра спб,false,non_video,,non_video,synthetic
imdb_pos_1449,Мисс Поттер смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2306,Дикая-дикая страна смотреть онлайн,true,prof_video,series,auto_accept,synthetic
imdb_neg_150,купить билет на Вторая половинка,false,non_video,,non_video,synthetic
imdb_pos_970,Ala Vaikunthapurramuloo смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2378,сериал Miami Vice,true,prof_video,series,auto_accept,synthetic
imdb_neg_724,рецензия Ромео истекает кровью,false,non_video,,non_video,synthetic
imdb_pos_202,Клинер онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_40,рецензия The Chaos Class Is on Vacation,false,non_video,,non_video,synthetic
imdb_pos_1373,скачать Мужские слезы 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_580,скачать Стыд 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_2616,Завучи все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_neg_1381,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_gen_59,лучшие фильмы 1998 года,true,prof_video,generic,generic_video,synthetic
imdb_neg_16,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_1788,Spy Hard смотреть,true,prof_video,film,auto_accept,synthetic
imdb_gen_295,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_pos_1487,скачать Клуб радости и удачи 2024,true,prof_video,film,auto_accept,synthetic
imdb_neg_1462,погода на завтра спб,false,non_video,,non_video,synthetic
imdb_neg_226,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_1839,фильм Сталкер,true,prof_video,film,auto_accept,synthetic
imdb_pos_408,Fallout все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_pos_589,Бар «Гадкий койот» смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2234,Области тьмы 1 сезон,true,prof_video,series,auto_accept,synthetic
imdb_neg_71,рецензия Волк с Уолл-стрит,false,non_video,,non_video,synthetic
imdb_pos_215,Sanjuro онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2900,скачать Monsters 2024,true,prof_video,film,auto_accept,synthetic
imdb_neg_48,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_2618,Rampage бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_1273,купить билет на Тёмные времена,false,non_video,,non_video,synthetic
imdb_pos_646,Оцепеневшие от страха онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_1270,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_neg_1074,купить билет на The Color of Pomegranates,false,non_video,,non_video,synthetic
imdb_gen_458,боевики смотреть,true,prof_video,generic,generic_video,synthetic
imdb_neg_479,как починить кран,false,non_video,,non_video,synthetic
imdb_pos_2311,Убойное Рождество Гарольда и Кумара бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_neg_941,купить билет на Бесшумный,false,non_video,,non_video,synthetic
imdb_pos_2587,фильм VidaaMuyarchi,true,prof_video,film,auto_accept,synthetic
imdb_neg_821,купить билет на Агентство,false,non_video,,non_video,synthetic
imdb_neg_1346,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_2611,Английский на среднем уровне смотреть,true,prof_video,film,auto_accept,synthetic
imdb_gen_393,тупейшие хорроры,true,prof_video,generic,generic_video,synthetic
imdb_pos_25,Badhaai Do онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_neg_935,карта кинотеатров,false,non_video,,non_video,synthetic
imdb_pos_2733,сериал Как избежать наказания за убийство,true,prof_video,series,auto_accept,synthetic
imdb_neg_603,саундтрек из Побег из курятника: Рассвет наггетсов,false,non_video,,non_video,synthetic
imdb_gen_229,тупейшие хорроры,true,prof_video,generic,generic_video,synthetic
imdb_pos_1154,Смертный мир смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_1431,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_neg_455,как починить кран,false,non_video,,non_video,synthetic
imdb_neg_411,расписание электричек москва,false,non_video,,non_video,synthetic
imdb_pos_1043,The Fury бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_2224,сериал Queen Charlotte: A Bridgerton Story,true,prof_video,series,auto_accept,synthetic
imdb_pos_1557,Гарфилд 2 онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_2447,скачать Тар 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1498,фильм Roma città aperta,true,prof_video,film,auto_accept,synthetic
imdb_pos_1757,сериал Полезные советы от Джона Уилсона,true,prof_video,series,auto_accept,synthetic
imdb_pos_2096,Санктум смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2475,David Attenborough: A Life on Our Planet бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_2070,The Penguin все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_pos_109,Охотники на гангстеров смотреть,true,prof_video,film,auto_accept,synthetic
imdb_neg_145,актеры фильма Фаренгейт 9/11,false,non_video,,non_video,synthetic
imdb_pos_1013,Cinayet Süsü бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_1260,Всевидящее око онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_1959,Ом Шанти Ом онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_393,скачать Письма с Иводзимы 2024,true,prof_video,film,auto_accept,synthetic
imdb_gen_71,лучшие фильмы 2011 года,true,prof_video,generic,generic_video,synthetic
imdb_pos_2230,Cam бесплатно,true,prof_video,film,auto_accept,synthetic
imdb_pos_2315,Эль Чапо все серии подряд,true,prof_video,series,auto_accept,synthetic
imdb_gen_219,лучшие фильмы 2023 года,true,prof_video,generic,generic_video,synthetic
imdb_pos_2349,Гонка 2 смотреть,true,prof_video,film,auto_accept,synthetic
imdb_pos_2217,скачать Дети шпионов 2024,true,prof_video,film,auto_accept,synthetic
imdb_neg_587,саундтрек из Миллион мелочей,false,non_video,,non_video,synthetic
imdb_neg_308,саундтрек из Throw Momma from the Train,false,non_video,,non_video,synthetic
imdb_gen_419,сериалы онлайн бесплатно,true,prof_video,generic,generic_video,synthetic
imdb_pos_1290,База 'Клейтон' смотреть,true,prof_video,film,auto_accept,synthetic
imdb_gen_377,смешные комедии,true,prof_video,generic,generic_video,synthetic
imdb_pos_2370,сериал Вызов,true,prof_video,series,auto_accept,synthetic
imdb_pos_1824,фильм Врожденный порок,true,prof_video,film,auto_accept,synthetic
imdb_pos_2360,The Great Mouse Detective онлайн в хорошем качестве,true,prof_video,film,auto_accept,synthetic
imdb_pos_573,фильм Empire of the Sun,true,prof_video,film,auto_accept,synthetic
imdb_pos_2328,скачать Хохотушка 2024,true,prof_video,film,auto_accept,synthetic
imdb_pos_1216,"скачать Я всё еще знаю, что вы сделали прошлым летом 2024",true,prof_video,film,auto_accept,synthetic
imdb_pos_506,фильм Гнев человеческий,true,prof_video,film,auto_accept,synthetic
imdb_neg_1122,как починить кран,false,non_video,,non_video,synthetic
imdb_pos_1191,фильм Изгнанные дьяволом,true,prof_video,film,auto_accept,synthetic
